9:00-10:00,10:00-11:00,11:00-12:00,12:30-1:30,1:30-2:30
"[5, 'DBMS', 'MI', 'ROOM NO.6', 'Monday', '9:00-10:00']","[5, 'Predictive Analytics', 'DA', 'ROOM NO.7', 'Monday', '10:00-11:00']","[5, 'Web Technology', 'GA', 'ROOM NO.6', 'Monday', '11:00-12:00']","[5, 'Web Technology', 'DA', 'ROOM NO.4', 'Monday', '12:30-1:30']",
"[5, 'OODA', 'GA', 'ROOM NO.10', 'Tuesday', '9:00-10:00']","[5, 'Web Technology', 'GA', 'ROOM NO.3', 'Monday', '10:00-11:00']","[5, 'Predictive Analytics', 'DA', 'ROOM NO.10', 'Monday', '11:00-12:00']","[5, 'DBMS', 'GA', 'ROOM NO.5', 'Monday', '12:30-1:30']","[5, 'Web Technology', 'MI', 'ROOM NO.7', 'Tuesday', '1:30-2:30']"
"[5, 'Predictive Analytics', 'DA', 'ROOM NO.3', 'Tuesday', '9:00-10:00']","[5, 'NLP', 'MI', 'ROOM NO.9', 'Tuesday', '10:00-11:00']","[5, 'Web Technology', 'DA', 'ROOM NO.5', 'Tuesday', '11:00-12:00']","[5, 'Web Technology', 'GA', 'ROOM NO.5', 'Tuesday', '12:30-1:30']","[5, 'OODA', 'DA', 'ROOM NO.1', 'Tuesday', '1:30-2:30']"
,,"[5, 'DBMS', 'GA', 'ROOM NO.1', 'Tuesday', '11:00-12:00']","[5, 'DBMS', 'DA', 'ROOM NO.10', 'Tuesday', '12:30-1:30']",
