9:00-10:00,10:00-11:00,11:00-12:00,12:30-1:30
"[1, 'Predictive Analytics', 'DA', 'ROOM NO.5', 'Monday', '9:00-10:00']","[1, 'Machine Learning', 'MI', 'ROOM NO.5', 'Monday', '10:00-11:00']","[1, 'Introduction to Python', 'MI', 'ROOM NO.2', 'Monday', '11:00-12:00']","[1, 'DBMS', 'GA', 'ROOM NO.10', 'Monday', '12:30-1:30']"
"[1, 'Information Retrieval', 'GA', 'ROOM NO.3', 'Monday', '9:00-10:00']","[1, 'OODA', 'CS', 'ROOM NO.1', 'Monday', '10:00-11:00']","[1, 'Information Retrieval', 'GA', 'ROOM NO.3', 'Monday', '11:00-12:00']","[1, 'Extra Sub', 'CS', 'ROOM NO.6', 'Monday', '12:30-1:30']"
"[1, 'Web Technology', 'CS', 'ROOM NO.7', 'Monday', '9:00-10:00']","[1, 'Extra Sub', 'GA', 'ROOM NO.3', 'Monday', '10:00-11:00']","[1, 'DBMS', 'CS', 'ROOM NO.10', 'Monday', '11:00-12:00']","[1, 'Predictive Analytics', 'DA', 'ROOM NO.2', 'Monday', '12:30-1:30']"
"[1, 'OODA', 'MI', 'ROOM NO.6', 'Monday', '9:00-10:00']","[1, 'Predictive Analytics', 'DA', 'ROOM NO.2', 'Monday', '10:00-11:00']","[1, 'Machine Learning', 'DA', 'ROOM NO.9', 'Monday', '11:00-12:00']","[5, 'Introduction to Python', 'MI', 'ROOM NO.1', 'Monday', '12:30-1:30']"
"[1, 'Extra Sub', 'DA', 'ROOM NO.5', 'Tuesday', '9:00-10:00']","[1, 'Machine Learning', 'GA', 'ROOM NO.10', 'Tuesday', '10:00-11:00']","[5, 'Web Technology', 'CS', 'ROOM NO.7', 'Tuesday', '11:00-12:00']","[1, 'Extra Sub', 'MI', 'ROOM NO.10', 'Tuesday', '12:30-1:30']"
"[5, 'Machine Learning', 'MI', 'ROOM NO.7', 'Tuesday', '9:00-10:00']","[1, 'OODA', 'MI', 'ROOM NO.9', 'Tuesday', '10:00-11:00']","[1, 'Information Retrieval', 'DA', 'ROOM NO.5', 'Tuesday', '11:00-12:00']","[5, 'Information Retrieval', 'DA', 'ROOM NO.5', 'Tuesday', '12:30-1:30']"
"[1, 'DBMS', 'GA', 'ROOM NO.10', 'Tuesday', '9:00-10:00']","[5, 'Web Technology', 'CS', 'ROOM NO.8', 'Tuesday', '10:00-11:00']","[1, 'Extra Sub', 'MI', 'ROOM NO.2', 'Tuesday', '11:00-12:00']","[1, 'Machine Learning', 'GA', 'ROOM NO.1', 'Tuesday', '12:30-1:30']"
"[1, 'OODA', 'CS', 'ROOM NO.1', 'Tuesday', '9:00-10:00']","[1, 'Extra Sub', 'DA', 'ROOM NO.2', 'Tuesday', '10:00-11:00']","[5, 'Machine Learning', 'GA', 'ROOM NO.10', 'Tuesday', '11:00-12:00']","[1, 'Web Technology', 'CS', 'ROOM NO.8', 'Tuesday', '12:30-1:30']"
